y1Date,y1MinTemp,y1MaxTemp,y1MinDew,y1MaxDew,,,y2Date,y2MinTemp,y2MaxTemp,y2MinDew,y2MaxDew,,,y3Date,y3MinTemp,y3MaxTemp,y3MinDew,y3MaxDew
19651213,45,52,43,50,,,19661213,30,36,19,30,,,19671213,36,61,31,43
19651214,39,51,36,43,,,19661214,34,39,25,31,,,19671214,42,57,18,46
19651215,37,48,27,38,,,19661215,27,37,18,24,,,19671215,30,42,14,20
19651216,33,48,30,39,,,19661216,23,41,16,27,,,19671216,28,42,14,19
19651217,30,50,21,36,,,19661217,27,55,19,32,,,19671217,26,50,17,24
19651218,26,41,18,23,,,19661218,42,61,28,36,,,19671218,36,46,26,44
19651219,26,39,13,22,,,19661219,26,44,13,29,,,19671219,44,61,33,49
19651220,17,32,11,19,,,19661220,30,35,16,33,,,19671220,34,54,26,32
19651221,24,33,18,24,,,19661221,28,37,21,29,,,19671221,33,52,25,41
19651222,19,44,15,29,,,19661222,25,41,18,27,,,19671222,39,62,27,57
19651223,26,59,20,31,,,19661223,27,35,14,24,,,19671223,25,34,11,28
19651224,35,54,27,35,,,19661224,21,27,17,21,,,19671224,19,36,10,17
19651225,43,64,30,56,,,19661225,24,32,12,21,,,19671225,23,39,17,32
19651226,23,43,3,30,,,19661226,24,32,10,15,,,19671226,27,39,13,33
19651227,15,34,3,16,,,19661227,18,32,8,16,,,19671227,23,35,14,18
19651228,21,42,13,21,,,19661228,12,30,6,27,,,19671228,28,37,20,34
19651229,21,45,14,26,,,19661229,28,37,14,36,,,19671229,27,39,14,32
19651230,21,54,16,31,,,19661230,25,33,12,18,,,19671230,21,33,12,17
19651231,30,68,26,46,,,19661231,18,33,10,22,,,19671231,23,34,16,30
